local_name,english_name,language,countries,regions,time_of_day,type_of_dish,type_of_dish_more,drink,occasions,occasions_more
Dolma qarnoun,Dolma qarnun,Daridja arabic,Algeria,Center,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
3rayech,Arayesh,Daridja arabic,Algeria,Center,['snack'],['Dessert'],NULL,"tea, milk and coffee",special,"eid, wedding"
halwat el lambout,halwat el lambout,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,"tea, milk and coffee",special,Eid
chtitha lhem,shtitha lhem,Daridja arabic,Algeria,NULL,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,wedding
kheshkhash,kheshkhash,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,"tea, milk and coffee",special,"ramadhan, eid, celebrations"
Khfaf/ sfenj,khfaf/ sfenj,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,"tea, milk and coffee",both,"Eid, birth, celebrations"
Bniwen,bniwen,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,"tea, milk and coffee",special,Eid
halwat tabe3,halwat tabaa,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,"tea, milk and coffee",both,"Breakfast, eid"
Mardoud,Mardoud,Daridja arabic,Algeria,"Ouargla, South","['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,special,"Yennayer, Ramadhan, Mouloud, Achoura"
Bradj,Bradj,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,"tea, milk and coffee",regular,NULL
Besbousa,Besbousa,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,tea,special,Ramadhan
Khobz El Bey,Khobz El Bey/ El Bey's bread,Daridja arabic,Algeria,Algiers,['snack'],['Dessert'],NULL,tea,special,Ramadhan
Sfiriya,Sfiriya,Daridja arabic,Algeria,Algiers,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
shebah sefra,shebah sefra/ garnisher of the meal,Daridja arabic,Algeria,Constantine,"['lunch', 'dinner']","['Side dish', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,special,"ramadhan, weddings"
Legmi,Legmi/ Palm drink,Daridja arabic,Algeria,"Touareg , South",['snack'],['Other'],drink,NULL,special,NULL
Jawzia,Jawziya,Daridja arabic,Algeria,Constantine,['snack'],['Dessert'],NULL,NULL,special,social evenings
moumou fi hdjer mou,the baby in his mother's lap,Daridja arabic,Algeria,"Algiers, Center","['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,Ramadhan
el kadi ou jmaatou,The attorney and his circle,Daridja arabic,Algeria,Algiers,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,Ramadhan
mkafan fi hdjar yemah,the deceased in his mother's lap,Daridja arabic,Algeria,Algiers,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,Ramadhan
Boussou la tmessou,Kiss it don't touch it,Daridja arabic,Algeria,"Algiers, Center",['snack'],['Dessert'],NULL,NULL,both,"eid, wedding"
Sekran tayeh f droudj,A drunk falling down the stairs,Daridja arabic,Algeria,"Algiers, Center","['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,special,Ramadhan
Kefta,Algerian Kefta,Daridja arabic,Algeria,NULL,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,special,Ramadhan
Coca,coca,Daridja arabic,Algeria,NULL,['snack'],"['Starter', 'Side dish']",NULL,NULL,regular,NULL
qelb ellouz,Algerian heart of almond,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,NULL,special,Ramadhan
Tamina,Tamina,Daridja arabic,Algeria,NULL,['snack'],"['Small plate / bowl for sharing', 'Dessert']",NULL,tea,special,Child birth
mhadjeb,mhadjeb,Daridja arabic,Algeria,NULL,"['lunch', 'dinner', 'snack', 'anytime']","['Small plate / bowl served as a part of a collection', 'Other']",sandwich,NULL,regular,NULL
Chekhchoukha,Chekhchoukha,Daridja arabic,Algeria,Center,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,"Yennayer, Ramadhan, Mouloud, Achoura"
Dobara,dobara,Daridja arabic,Algeria,Biskra,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
zviti,algerian chili dish,Daridja arabic,Algeria,Bousaada,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,fermented milk,regular,NULL
Garantina,"garantita, chickpea gello",Daridja arabic,Algeria,Ouest,"['lunch', 'dinner', 'snack', 'anytime']","['Small plate / bowl served as a part of a collection', 'Other']",sandwich,NULL,regular,NULL
mchewek,Algerian Almond Cookies,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,NULL,special,"eid, wedding"
Tacharak mseker,sweet tcharak- Algerian Sugar Coated Almond Filled Crescent Cookies,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,NULL,special,"eid, wedding"
Mekrout,Algerian Mekrout,Daridja arabic,Algeria,NULL,['snack'],['Dessert'],NULL,tea,both,"ramadhan, eid"
chorba frik,freekeh soup,Daridja arabic,Algeria,NULL,"['lunch', 'dinner']","['Soup', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,Ramadhan
7rira,"hrira, algerian hrira",Daridja arabic,Algeria,"Oran, Ouest","['lunch', 'dinner']","['Soup', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,Ramadhan
l7em le7lou,the sweet meat,Daridja arabic,Algeria,Algiers,['dinner'],['Small plate / bowl served as a part of a collection'],NULL,NULL,special,Ramadhan
rechta,rechta,Daridja arabic,Algeria,"Algiers, central Algeria","['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,special,"Yennayer, Ramadhan, Mouloud, Achoura"
mthewem,Algerian Meatballs in a Chickpea Sauce,Daridja arabic,Algeria,"Algiers, Center","['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,special,"Ramadhan, celebrations"
fenouils farcis algeriens,algerian stuffed fennels,"Daridja arabic, French",Algeria,NULL,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Poulet Roti a l'Algerienne,Algerian Roast Chicken,"Daridja arabic, French",Algeria,NULL,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Creppone,kreponey/algerian ice cream,"Daridja arabic, French",Algeria,"Oran, Center, Ouest",['snack'],['Dessert'],NULL,NULL,both,Summer
batata fliou,batata fliyu,"Daridja arabic, Kabyle",Algeria,"Center, Kabylia","['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,both,spring
kaak ne9ash/ lke3k una9ash,nekash,"Daridja arabic, Kabyle",Algeria,NULL,['snack'],['Dessert'],NULL,tea,special,"eid, wedding"
berkoukes,algerian berkoukes soup,"Daridja arabic, Kabyle",Algeria,Kabylia,"['lunch', 'dinner']","['Soup', 'Main dish - stand alone (e.g. one pot meal)']",NULL,NULL,both,"child birth, yennayer, winter"
latay,algerian tea/algerian kabyle tea,Kabyle,Algeria,Kabylia,['snack'],['Other'],drink,NULL,regular,NULL
tahbult tmellalin,tahbult tmellalin,Kabyle,Algeria,Kabylia,"['breakfast', 'snack']","['Side dish', 'Dessert']",NULL,"tea, milk and coffee",both,Child birth
Thamthount n zzith,Thamthount n zzith,Kabyle,Algeria,Kabylia,"['breakfast', 'snack']",['Dessert'],NULL,"tea, milk and coffee",regular,NULL
aḍemmin,adhemin,Kabyle,Algeria,Kabylia,['anytime'],['Side dish'],NULL,NULL,both,mosques
Adghes,Adghes,Kabyle,Algeria,Kabylia,['anytime'],['Side dish'],NULL,NULL,special,when the ewe gives birth
Tikerbabin,Tikerbabin,Kabyle,Algeria,Kabylia,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
tharkoucht,tharkouchth,Kabyle,Algeria,Kabylia,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Aghroum lehchich,Kabyle herbs bread,Kabyle,Algeria,Kabylia,"['lunch', 'dinner', 'snack']",['Side dish'],NULL,NULL,both,spring
Thamthount,Kabyle fermented bread,Kabyle,Algeria,Kabylia,"['breakfast', 'lunch', 'dinner', 'snack', 'anytime']",['Other'],Bread,NULL,regular,NULL
Aghrum Aquran,Dry bread,Kabyle,Algeria,Kabylia,"['lunch', 'dinner', 'snack', 'anytime']",['Other'],Bread,NULL,regular,NULL
seksou s thghediwth,Couscous with thaghediwth,Kabyle,Algeria,Kabylia,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
A3emmush,NULL,Kabyle,Algeria,NULL,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Takerwait,Takerwait,Tamazight/Mzab,Algeria,Ghardaia,['anytime'],['Other'],drink,NULL,special,Ramadhan
Maghlouba,maghlouba/the defeated,Tamazight/Mzab,Algeria,Ghardaia,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Adrez n tagella,Adrez n tagella,Tamazight/Touareg,Algeria,"Touareg, South","['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,tea,regular,NULL
Tagella,Tagella,Tamazight/Touareg,Algeria,"Touareg, South","['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,tea,regular,NULL
Aliwa tizalfawen,Aliwa tizalfawen,Tamazight/Touareg,Algeria,South,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,tea,regular,NULL
شاورما,Shawarma,Arabic,"Algeria, Egypt, Lebanon, Palestine, Saudi Arabia, Sudan, Syrian Arab Republic, United Arab Emirates",NULL,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,Juice,regular,NULL
les cigares,almond cigarettes,Daridja arabic,"Algeria, Morocco",NULL,['snack'],['Dessert'],NULL,NULL,special,"ramadhan, eid"
tcharak l3eryan,naked tcharak / gazelle cornets,Daridja arabic,"Algeria, Morocco",NULL,['snack'],['Dessert'],NULL,tea,special,"ramadhan, eid, celebrations"
Griwech,griwesh,Daridja arabic,"Algeria, Morocco",NULL,['snack'],['Dessert'],NULL,tea,special,"ramadhan, eid, celebrations"
Baghrir/ thighrifin,Baghrir/ thighrifin,"Daridja arabic, Kabyle","Algeria, Morocco",NULL,"['breakfast', 'snack']",['Dessert'],NULL,"tea, milk and coffee",both,"Yennayer, Ramadhan, Mouloud, Achoura"
Calulú de Carne Seca & funge de Bombo,NULL,Portuguese,Angola,"North, South","['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Tchaka madesu,Ragoût de Feuille de Manioc avec Haricot,Lingala,"Angola, Democratic Republic of the Congo, Republic of the Congo","Moyembe, Kinshasa, Katanga, Goma, Lomami(Congo-kinshasa)","['breakfast', 'lunch']","['Starter', 'Main dish - stand alone (e.g. one pot meal)']",NULL,NULL,both,NULL
Flan con crema y dulce de leche,NULL,Spanish,"Argentina, Mexico",NULL,"['lunch', 'dinner']",['Dessert'],NULL,NULL,regular,NULL
լահմաջո,Lahmajoun,Armenian,Armenia,NULL,"['lunch', 'dinner', 'snack']","['Starter', 'Side dish']",NULL,NULL,regular,NULL
Fairy Bread,NULL,English,Australia,NULL,"['snack', 'anytime']","['Small plate / bowl for sharing', 'Dessert']",NULL,NULL,special,Birthdays
Lamingtons,Lamingtons or Lammos,English,Australia,NULL,['other'],['Other'],NULL,Tea,both,"School fetes, church fetes, other fundraisers"
Wiener Schnitzel,Viennese veal escalope,German,"Austria, Germany",Vienna,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Käsespätzle,Cheese spaetzle,German,"Austria, Germany",Bavaria,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],Usually eaten with fried onions,NULL,regular,NULL
Cevapi,NULL,Bosnian,Bosnia and Herzegovina,Balkans,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Vinagrete,NULL,Portuguese,Brazil,South east,['lunch'],['Side dish'],NULL,No,special,"It's a side for when doing a barbecue. Usually barbecues are related to family/friends gatherings on the weekend, but not an every-day type of food"
Musse de Maracujá,NULL,Portuguese,Brazil,All regions,['anytime'],['Dessert'],NULL,No,regular,NULL
Pudim,NULL,Portuguese,Brazil,All regions,['anytime'],['Dessert'],NULL,no,regular,NULL
Brigadeiro,Chocolat truffles,Portuguese,Brazil,All regions,['anytime'],['Dessert'],NULL,No,both,"Birthday parties, weddings"
Moqueca de Peixe,Fish Stew,Portuguese,Brazil,North,['lunch'],['Main dish - eaten with sides'],NULL,No,regular,NULL
Coxinha,Chicken croquette,Portuguese,Brazil,NULL,['snack'],['Small plate / bowl served as a part of a collection'],NULL,No,special,Birthday parties
Pão de Queijo,Cheese bread,Portuguese,Brazil,All regions,['snack'],['Small plate / bowl served as a part of a collection'],NULL,No,regular,NULL
Feijoada,Black bean stew,Portuguese,Brazil,All regions,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,Beer,special,Family gatherings
Mousakka,NULL,Bulgarian,Bulgaria,NULL,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,no,regular,NULL
Le Babenda (Babinda),NULL,Mossi,Burkina Faso,Central plateau.,['anytime'],['Main dish - eaten with sides'],NULL,Water.,both,"Baptism ceremonies, weddings"
Babenda,NULL,Mossi,Burkina Faso,NULL,['lunch'],['Small plate / bowl for sharing'],NULL,NULL,regular,NULL
Wet Thar Hmyit Chin Hinn (ဝက်သားမျှစ်ချဥ်ဟင်း),Pork and Sour Bamboo Shoot Stew,Burmese,"Burma, India, Myanmar",Sagaing Region and the Naga Self-Administered Zone (Myanmar); Nagaland (India),"['lunch', 'dinner']",['Main dish - eaten with sides'],Typically eaten with white rice,"Water, beer",both,Social gatherings
Thingyan Htamin (သင်္ကြန်ထမင်း),Thingyan Rice (phonetic: the-jan tah-minn),Burmese,"Burma, Myanmar","Mon State, Southern Myanmar","['snack', 'anytime']","['Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,NULL,special,"Thingyan (Burmese New Year), specifically during the Water Festival celebrations"
Mohinga (မုန့်ဟင်းခါး),Moh-hing-ahh,Burmese,"Burma, Myanmar",Lower Myanmar (Irrawaddy Delta and coastal territories),"['breakfast', 'lunch', 'anytime']",['Main dish - stand alone (e.g. one pot meal)'],NULL,Burmese tea,both,"A-hlu - large community gatherings at the monastery for celebrations (incl. death anniversaries), social support, and general charity/alms-giving."
Shwe Yin Aye (ရွှေရင်အေး),Shway-yinn-aeh,Burmese,"Burma, Myanmar",Central and Lower Myanmar,"['snack', 'other']",['Dessert'],NULL,NULL,both,Thingyan (Burmese New Year)
Kyet U Hinn / Bel U Hinn (ကြက်ဥဟင်း / ဘဲဥဟင်း),"Chicken / Duck Egg Curry, Burmese-Style (Phonetic: jet-oot-hinn / behr-oot-hinn)",Burmese,"Burma, Myanmar",All regions,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",Eaten with rice,NULL,regular,NULL
Umukeke Utetse,NULL,Kirundi,Burundi,Imbo region,['anytime'],['Main dish - eaten with sides'],NULL,No,regular,NULL
Mbongo tchobi,Black soup,Bassa'a,Cameroon,"Littoral region, center region","['lunch', 'dinner']","['Soup', 'Main dish - eaten with sides']",NULL,Wine,both,"Mariages, anniversairies,meetings"
Nyamangoro Red Soup,Snails Red Soup,Bayangui,Cameroon,South West,"['lunch', 'dinner']",['Sauce'],NULL,any,both,NULL
Nyamangoro/ Congo meat/ Slowboys,Fried Snails,Bayangui,Cameroon,South West,['anytime'],['Starter'],NULL,any,regular,NULL
Kpwem sans sel,Puree  cassava leaf without salt,Béti,Cameroon,"South,  Center","['lunch', 'dinner']",['Soup'],NULL,any,regular,NULL
Plantain Chips,Plantain Chips,English,Cameroon,All regions,"['snack', 'anytime']",['Starter'],NULL,NULL,both,NULL
Fish Roll,Fish Roll,English,Cameroon,South West and North west,"['snack', 'anytime']",['Starter'],NULL,any,both,NULL
Roasted fish,Roasted fish,English,Cameroon,All regions,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,any,both,NULL
Egusi pudding,Egusi pudding,English,Cameroon,East,['dinner'],['Main dish - stand alone (e.g. one pot meal)'],NULL,Matango,both,Funeral
Corn chaff,Corn chaff,English,Cameroon,South West and North west,"['lunch', 'dinner', 'anytime']",['Main dish - stand alone (e.g. one pot meal)'],NULL,Any drink,regular,NULL
N'nam Wondo,Peanut pudding,Ewondo,Cameroon,center,['anytime'],['Main dish - eaten with sides'],NULL,any,both,NULL
Pilé pomme,Pounded irish,French,Cameroon,West,"['breakfast', 'lunch', 'dinner', 'anytime']",['Main dish - eaten with sides'],NULL,"Water,juice,wine, palm wine, or any other drink",both,"Celebrations like: Birthday, wedding, business, etc"
Gâteau maïs,corn cake,French,Cameroon,Ouest,['anytime'],"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,Eau,regular,NULL
Banane malaxée/Topsi banana,Kneaded banana,French,Cameroon,Ouest,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,Juice,regular,NULL
Beignets haricot bouillie (BHB),"Puff Puff, beans and pape",French,Cameroon,All regions,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,no,both,NULL
Caramels d’arachides,Peanut Caramels,French,Cameroon,All regions,['anytime'],['Starter'],NULL,no,both,NULL
Plantain prune (safou) braisé,Roasted Plantain and Plums,French,Cameroon,All regions,['anytime'],['Starter'],NULL,no,regular,NULL
Sauce Foléré,Foléré Soup,French,Cameroon,Far North,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,any,regular,NULL
Poulet DG (Directeur Général),Chicken CEO,French,Cameroon,West,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,Wine,special,"Celebrations like: Birthday, wedding, business, etc"
Couscous maïs,fufu corn,French,Cameroon,All regions,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Plantain mur avec légumes sautés,plantain with vegetables,French,Cameroon,West,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,"water, juice",regular,NULL
riz haricot,rice with beans,French,Cameroon,West,"['lunch', 'dinner']",['Small plate / bowl for sharing'],NULL,"water, juice",regular,NULL
Le pilé plantain,The plantain mashed,French,Cameroon,West,['anytime'],"['Side dish', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,Yes,regular,NULL
Tack / Gâteau de maïs / Tenue Militaire,Corn Cake/Military Outfit,Ghomala,Cameroon,West,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,any,regular,NULL
Wayna,Cassava puff puff,Hausa,Cameroon,North,"['snack', 'anytime']",['Starter'],NULL,any,regular,NULL
Sa aguel,Fried Lamb meat,Hausa,Cameroon,North,"['snack', 'anytime']",['Starter'],NULL,Chaa i,both,NULL
Abaakuru/bankourou,Peanut croquette,Hausa,Cameroon,North,['anytime'],['Starter'],NULL,any,regular,NULL
Eru,Gnetum Africanum plant,"Kenyang (Nyang, Banyang, Manyang)",Cameroon,South West,"['lunch', 'dinner']","['Soup', 'Main dish - eaten with sides']",NULL,"Water, Juice, Wine",both,any celebration
Krēkrē/Koki,black-eyed beans pudding,Medumba,Cameroon,"West, littoral","['lunch', 'dinner', 'anytime']",['Main dish - stand alone (e.g. one pot meal)'],NULL,"water, palm wine, beer",both,any celebration
Kondrè  chèvre,Plantain stew with meat,Medumba,Cameroon,West,['anytime'],['Main dish - eaten with sides'],NULL,"palm wine, red wine",both,"Funerals, weddings"
"Nkui, misan phu pe nzap",Triumfetta pentandra,Medumba,Cameroon,West,"['lunch', 'dinner', 'anytime']","['Soup', 'Sauce', 'Main dish - eaten with sides']",NULL,wine,special,"Death celebrations, funerals, born house (childbirth celebration), rituals and festivals."
Kwacoco Bible,Kwacoco Bible,Mokpwe,Cameroon,South West,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,any,both,NULL
Kati-Kati,Fire grilled chicken,Nkom,Cameroon,NorthWest,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,any,both,NULL
djama djama,djama djama,Pidgin,Cameroon,North West,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,any,regular,"traditional, regular"
Achu Soup,Yellow Soup,Pinyin,Cameroon,North West,['dinner'],"['Soup', 'Main dish - eaten with sides']",NULL,Wine,both,Any celebration
Ndolè,Bitter leaf,Sawa,Cameroon,Littoral region (Douala),"['lunch', 'dinner']","['Soup', 'Main dish - eaten with sides']",NULL,"Juice, water or wine.",both,"weddings, baptisms, funerals, birthdays"
Nékoo,moringa sauce,Tupuri,Cameroon,Tupuri,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,any drink,regular,NULL
Kelen kelen,Lalo soupe,Tupuri,Cameroon,North,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,any,regular,NULL
"Doukoko, Okok or fumbwa",leaves of gnetum,Yambassa,Cameroon,Central region,['dinner'],"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,Water; fruits juice; alcohol,regular,NULL
"Masa,Maca",fermented rice cakes,Hausa,Cameroon,Adamawa,['breakfast'],"['starter', 'side_dish']",NULL,any,regular,NULL
Kilichi,Dried meat,Hausa,"Cameroon, Nigeria",North,"['snack', 'anytime']",['starter'],NULL,any,regular,NULL
Saŋa,Sanga,Ewondo,"Cameroon, Republic of the Congo, Equatorial Guinea, Gabon",Central Africa,['other'],['Starter'],NULL,no,regular,NULL
pwəm/ Kpwem sans sel,Puree  cassava leaf without salt,Ewondo,"Cameroon, Republic of the Congo, Equatorial Guinea, Gabon",Central Africa,['lunch'],['Main dish - stand alone (e.g. one pot meal)'],NULL,no,regular,NULL
"Soya,Suya",Skewered Meat,Hausa,"Cameroon,Nigeria","Adamawa, North","['snack', 'anytime']",['starter'],NULL,any,both,NULL
Ekpang Nkukwo,E-kpa-ng,Efik,"Cameroon,Nigeria",South,['anytime'],"['Starter', 'Main dish - stand alone (e.g. one pot meal)']",NULL,NULL,regular,NULL
辣椒炒肉,Maybe “Stir-fried meat with chili”,Chinese,China,Hunan Province,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
小面,NULL,Chinese,China,NULL,['anytime'],['Main dish - eaten with sides'],NULL,Nope,both,We will cook a bowl of Xiaomian in memory of the date of birth on our birthday!
火锅,hotpot,Chinese,China,"Szechuan, Chongqing","['lunch', 'dinner', 'anytime']",['Main dish - stand alone (e.g. one pot meal)'],NULL,Any kinds,both,Family/friends reunion
烤鸭,aromatic duck,Chinese,China,NULL,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,both,Family/friends reunion
羊肉串,lamb skewer,Chinese,China,新疆,['snack'],['Side dish'],NULL,NULL,regular,NULL
饺子,Dumplings,Chinese,China,NULL,"['lunch', 'dinner', 'anytime']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,both,Lunar festival
Swikee goreng,NULL,Bahasa Indonesia,"China, Indonesia","Jatiwangi, West Java (Indonesia); Purwodadi, Central Java (Indonesia)","['lunch', 'dinner']","['Side dish', 'Small plate / bowl for sharing']",NULL,NULL,both,NULL
蛋餅,Dan-Bing -- Egg chive pancake,Mandarin,"China, Taiwan",NULL,"['breakfast', 'anytime']",['Starter'],NULL,soybean milk,regular,NULL
Makovnjača,Poppy roll or Ma-kov-nya-cha,Croatian,Croatia,Continental Croatia,['anytime'],"['Dessert', 'Other']",NULL,NULL,both,Catholic holidays
"Bukari, Sombe na Nkuku","Maize porridge, cassava leaves and chicken",Kiswahili,Democratic Republic of the Congo,Lubumbashi,"['lunch', 'anytime']",['Main dish - eaten with sides'],NULL,"Water, juice, soda",regular,NULL
Ndunda,Spinach sauté with smoked fish,Lingala,Democratic Republic of the Congo,"katanga, kinshasa(congo-kinshasa)","['breakfast', 'lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,both,NULL
